"Medicare Part B Brand, Generic and Manufacturer Information",,,,
,,,,
Medicare Billing Code (HCPCS Code),Drug Description,Brand Name,Generic Name,Manufacturer
J0702,"Injection, betamethasone acetate 3 mg and betamethasone sodium phosphate 3 mg",Betamethasone Acetate-Sod Phos,Betameth Acet/Betamet Sod Phos,Amer. Regent
J0702,"Injection, betamethasone acetate 3 mg and betamethasone sodium phosphate 3 mg",Celestone,Betameth Acet/Betamet Sod Phos,Merck Sharp & D
J0712,"Injection, ceftaroline fosamil, 10 mg",Teflaro,Ceftaroline Fosamil Acetate,Allergan Inc.
J0713,"Injection, ceftazidime, per 500 mg",Ceftazidime,Ceftazidime,Sagent Pharme
J0713,"Injection, ceftazidime, per 500 mg",Ceftazidime,Ceftazidime,Sagent/Premierp
J0713,"Injection, ceftazidime, per 500 mg",Ceftazidime,Ceftazidime,Sandoz
J0713,"Injection, ceftazidime, per 500 mg",Ceftazidime,Ceftazidime,WG Critical Car
J0713,"Injection, ceftazidime, per 500 mg",Ceftazidime,Ceftazidime In Dextrose5%water,B.Braun
J0713,"Injection, ceftazidime, per 500 mg",Fortaz,Ceftazidime,Covis/Teligent
J0713,"Injection, ceftazidime, per 500 mg",Fortaz In Iso-Osmotic Dextrose,Ceftazidime In Is-Osm Dextrose,Covis/Teligent
J0713,"Injection, ceftazidime, per 500 mg",Tazicef,Ceftazidime,Hospira
J0713,"Injection, ceftazidime, per 500 mg",Tazicef,Ceftazidime,Hospira/Novaplu
J0717,"Injection, certolizumab pegol, 1 mg",Cimzia,Certolizumab Pegol,UCB Pharma
J0720,"Injection, chloramphenicol sodium succinate, up to 1 gm",Chloramphenicol Sod Succinate,Chloramphenicol Sod Succinate,APP/Fresenius K
J0725,"Injection, chorionic gonadotropin, per 1,000 usp units",Chorionic Gonadotropin,"Chorionic Gonadotropin, Human",APP/Fresenius K
J0725,"Injection, chorionic gonadotropin, per 1,000 usp units",Novarel,"Chorionic Gonadotropin, Human",Ferring Ph Inc
J0735,"Injection, clonidine hydrochloride, 1 mg",Clonidine HCL,Clonidine HCL/PF,APP/Fresenius K
J0735,"Injection, clonidine hydrochloride, 1 mg",Clonidine HCL,Clonidine HCL/PF,Amer. Regent
J0735,"Injection, clonidine hydrochloride, 1 mg",Clonidine HCL,Clonidine HCL/PF,"West-Ward, Inc."
J0735,"Injection, clonidine hydrochloride, 1 mg",Clonidine HCL,Clonidine HCL/PF,X-Gen Pharmeu
J0735,"Injection, clonidine hydrochloride, 1 mg",Duraclon,Clonidine HCL/PF,Mylan Instituti
J0740,"Injection, cidofovir, 375 mg",Cidofovir,Cidofovir,Heritage Pharma
J0740,"Injection, cidofovir, 375 mg",Cidofovir,Cidofovir,Mylan Instituti
J0740,"Injection, cidofovir, 375 mg",Vistide,Cidofovir,Gilead Sciences
J0743,"Injection, cilastatin sodium; imipenem, per 250 mg",Imipenem-Cilastatin Sodium,Imipenem/Cilastatin Sodium,APP/Fresenius K
J0743,"Injection, cilastatin sodium; imipenem, per 250 mg",Imipenem-Cilastatin Sodium,Imipenem/Cilastatin Sodium,Hospira
J0743,"Injection, cilastatin sodium; imipenem, per 250 mg",Imipenem-Cilastatin Sodium,Imipenem/Cilastatin Sodium,Hospira/Novaplu
J0743,"Injection, cilastatin sodium; imipenem, per 250 mg",Primaxin,Imipenem/Cilastatin Sodium,Merck Sharp & D
J0744,"Injection, ciprofloxacin for intravenous infusion, 200 mg",Cipro I.V.,Ciprofloxacin Lactate/D5W,"Bayer,Pharm Div"
J0744,"Injection, ciprofloxacin for intravenous infusion, 200 mg",Ciprofloxacin,Ciprofloxacin Lactate,Hospira
J0744,"Injection, ciprofloxacin for intravenous infusion, 200 mg",Ciprofloxacin-D5W,Ciprofloxacin Lactate/D5W,Hospira
J0744,"Injection, ciprofloxacin for intravenous infusion, 200 mg",Ciprofloxacin-D5W,Ciprofloxacin Lactate/D5W,Hospira/Novaplu
J0744,"Injection, ciprofloxacin for intravenous infusion, 200 mg",Ciprofloxacin-D5W,Ciprofloxacin Lactate/D5W,Sagent Pharme
J0744,"Injection, ciprofloxacin for intravenous infusion, 200 mg",Ciprofloxacin-D5W,Ciprofloxacin Lactate/D5W,Sandoz
J0770,"Injection, colistimethate sodium, up to 150 mg",Colistimethate,Colistin (Colistimethate Na),APP/Fresenius K
J0770,"Injection, colistimethate sodium, up to 150 mg",Colistimethate,Colistin (Colistimethate Na),Heritage Pharma
J0770,"Injection, colistimethate sodium, up to 150 mg",Colistimethate,Colistin (Colistimethate Na),Par Pharm.
J0770,"Injection, colistimethate sodium, up to 150 mg",Colistimethate,Colistin (Colistimethate Na),Perrigo Co.
J0770,"Injection, colistimethate sodium, up to 150 mg",Colistimethate,Colistin (Colistimethate Na),Sagent Pharme
J0770,"Injection, colistimethate sodium, up to 150 mg",Colistimethate,Colistin (Colistimethate Na),X-Gen Pharmeu
J0770,"Injection, colistimethate sodium, up to 150 mg",Coly-Mycin M Parenteral,Colistin (Colistimethate Na),Par Pharmeuti
J0775,"Injection, collagenase, clostridium histolyticum, 0.01 mg",Xiaflex,Collagenase Clostridium Hist.,Auxilium/Endo P
J0780,"Injection, prochlorperazine, up to 10 mg",Prochlorperazine Edisylate,Prochlorperazine Edisylate,Bedford Labs
J0780,"Injection, prochlorperazine, up to 10 mg",Prochlorperazine Edisylate,Prochlorperazine Edisylate,Heritage Pharma
J0800,"Injection, corticotropin, up to 40 units",H.P. Acthar,Corticotropin,Questcor
J0834,"Injection, cosyntropin (cortrosyn), 0.25 mg",Cortrosyn,Cosyntropin,Amphastar Pharm
J0834,"Injection, cosyntropin (cortrosyn), 0.25 mg",Cosyntropin,Cosyntropin,Mylan Inst-Nova
J0834,"Injection, cosyntropin (cortrosyn), 0.25 mg",Cosyntropin,Cosyntropin,Mylan Instituti
J0834,"Injection, cosyntropin (cortrosyn), 0.25 mg",Cosyntropin,Cosyntropin,Sandoz
J0840,"Injection, crotalidae polyvalent immune fab (ovine), up to 1 gram",Crofab,"Antivenin,crotalidae Fab(Ovin)",BTG Internation
J0850,"Injection, cytomegalovirus immune globulin intravenous (human), per vial",Cytogam,Cytomegalovirus Immune Globuln,CSL Behring LLC
J0878,"Injection, daptomycin, 1 mg",Cubicin,Daptomycin,Merck Sharp & D
J0881,"Injection, darbepoetin alfa, 1 microgram",Aranesp,Darbepoetin Alfa In Polysorbat,Amgen
J0882,"Injection, darbepoetin alfa, 1 microgram (for esrd on dialysis)",Aranesp,Darbepoetin Alfa In Polysorbat,Amgen
J0885,"Injection, epoetin alfa, (for non-esrd use), 1000 units",Epogen,Epoetin Alfa,Amgen
J0885,"Injection, epoetin alfa, (for non-esrd use), 1000 units",Procrit,Epoetin Alfa,Janssen Product
J0894,"Injection, decitabine, 1 mg",Dacogen,Decitabine,Eisai Inc.
J0894,"Injection, decitabine, 1 mg",Dacogen,Decitabine,Otsuka America
J0894,"Injection, decitabine, 1 mg",Decitabine,Decitabine,Dr. Reddy's/Nov
J0894,"Injection, decitabine, 1 mg",Decitabine,Decitabine,Dr. Reddy's/Pre
J0894,"Injection, decitabine, 1 mg",Decitabine,Decitabine,Dr.Reddy's Lab
J0894,"Injection, decitabine, 1 mg",Decitabine,Decitabine,Sandoz
J0894,"Injection, decitabine, 1 mg",Decitabine,Decitabine,Sun Pharma Glob
J0895,"Injection, deferoxamine mesylate, 500 mg",Deferoxamine Mesylate,Deferoxamine Mesylate,APP/Fresenius K
J0895,"Injection, deferoxamine mesylate, 500 mg",Deferoxamine Mesylate,Deferoxamine Mesylate,Hospira
J0895,"Injection, deferoxamine mesylate, 500 mg",Desferal,Deferoxamine Mesylate,Novartis
J0895,"Injection, deferoxamine mesylate, 500 mg",Desferal Mesylate,Deferoxamine Mesylate,Novartis
J0897,"Injection, denosumab, 1 mg",Prolia,Denosumab,Amgen
J0897,"Injection, denosumab, 1 mg",Xgeva,Denosumab,Amgen
J1000,"Injection, depo-estradiol cypionate, up to 5 mg",Depo-Estradiol,Estradiol Cypionate,A-S Medication
J1000,"Injection, depo-estradiol cypionate, up to 5 mg",Depo-Estradiol,Estradiol Cypionate,Pharmia/Upjhn
J1020,"Injection, methylprednisolone acetate, 20 mg",Depo-Medrol,MethylprednIsolone Acetate,Pharmia/Upjhn
J1020,"Injection, methylprednisolone acetate, 20 mg",MethylprednIsolone Acetate,MethylprednIsolone Acetate,Sandoz
J1020,"Injection, methylprednisolone acetate, 20 mg",MethylprednIsolone Acetate,MethylprednIsolone Acetate,Teva Parenteral
J1030,"Injection, methylprednisolone acetate, 40 mg",Depo-Medrol,MethylprednIsolone Acetate,A-S Medication
J1030,"Injection, methylprednisolone acetate, 40 mg",Depo-Medrol,MethylprednIsolone Acetate,Pfizer/Novaplus
J1030,"Injection, methylprednisolone acetate, 40 mg",Depo-Medrol,MethylprednIsolone Acetate,Pharmia/Upjhn
J1030,"Injection, methylprednisolone acetate, 40 mg",MethylprednIsolone Acetate,MethylprednIsolone Acetate,Sandoz
J1030,"Injection, methylprednisolone acetate, 40 mg",MethylprednIsolone Acetate,MethylprednIsolone Acetate,Teva Parenteral
J1040,"Injection, methylprednisolone acetate, 80 mg",Depo-Medrol,MethylprednIsolone Acetate,A-S Medication
J1040,"Injection, methylprednisolone acetate, 80 mg",Depo-Medrol,MethylprednIsolone Acetate,Pfizer/Novaplus
J1040,"Injection, methylprednisolone acetate, 80 mg",Depo-Medrol,MethylprednIsolone Acetate,Pharmia/Upjhn
J1040,"Injection, methylprednisolone acetate, 80 mg",MethylprednIsolone Acetate,MethylprednIsolone Acetate,Sandoz
J1040,"Injection, methylprednisolone acetate, 80 mg",MethylprednIsolone Acetate,MethylprednIsolone Acetate,Teva Parenteral
J1050,"Injection, medroxyprogesterone acetate, 1 mg",Depo-Provera,Medroxyprogesterone Acetate,Pharmia/Upjhn
J1071,"Injection, testosterone cypionate, 1 mg",Depo-Testosterone,Testosterone Cypionate,A-S Medication
J1071,"Injection, testosterone cypionate, 1 mg",Depo-Testosterone,Testosterone Cypionate,Pfizer/Novaplus
J1071,"Injection, testosterone cypionate, 1 mg",Depo-Testosterone,Testosterone Cypionate,Pharmia/Upjhn
J1071,"Injection, testosterone cypionate, 1 mg",Testosterone Cypionate,Testosterone Cypionate,A-S Medication
J1071,"Injection, testosterone cypionate, 1 mg",Testosterone Cypionate,Testosterone Cypionate,Actavis Pharma
J1071,"Injection, testosterone cypionate, 1 mg",Testosterone Cypionate,Testosterone Cypionate,Perrigo Co.
J1071,"Injection, testosterone cypionate, 1 mg",Testosterone Cypionate,Testosterone Cypionate,Sandoz
J1071,"Injection, testosterone cypionate, 1 mg",Testosterone Cypionate,Testosterone Cypionate,Sun Pharmeuti
J1071,"Injection, testosterone cypionate, 1 mg",Testosterone Cypionate,Testosterone Cypionate,"West-Ward, Inc."
J1100,"Injection, dexamethasone sodium phosphate, 1 mg",Dexamethasone Sodium Phosphate,Dexamethasone Sod Phosphate,A-S Medication
J1100,"Injection, dexamethasone sodium phosphate, 1 mg",Dexamethasone Sodium Phosphate,Dexamethasone Sod Phosphate,APP/Fresenius K
J1100,"Injection, dexamethasone sodium phosphate, 1 mg",Dexamethasone Sodium Phosphate,Dexamethasone Sod Phosphate,APP/Premierpro
J1100,"Injection, dexamethasone sodium phosphate, 1 mg",Dexamethasone Sodium Phosphate,Dexamethasone Sod Phosphate,Amer. Regent
J1100,"Injection, dexamethasone sodium phosphate, 1 mg",Dexamethasone Sodium Phosphate,Dexamethasone Sod Phosphate,Bd Rx Inc./APP
J1100,"Injection, dexamethasone sodium phosphate, 1 mg",Dexamethasone Sodium Phosphate,Dexamethasone Sod Phosphate,Mylan Inst-Nova
J1100,"Injection, dexamethasone sodium phosphate, 1 mg",Dexamethasone Sodium Phosphate,Dexamethasone Sod Phosphate,Mylan Instituti
J1100,"Injection, dexamethasone sodium phosphate, 1 mg",Dexamethasone Sodium Phosphate,Dexamethasone Sod Phosphate,"West-Ward, Inc."
J1100,"Injection, dexamethasone sodium phosphate, 1 mg",Dexamethasone Sodium Phosphate,Dexamethasone Sodium Phosp/PF,APP/Fresenius K
J1100,"Injection, dexamethasone sodium phosphate, 1 mg",Dexamethasone Sodium Phosphate,Dexamethasone Sodium Phosp/PF,APP/Premierpro
J1110,"Injection, dihydroergotamine mesylate, per 1 mg",D.H.E.45,Dihydroergotamine Mesylate,Valeant
J1110,"Injection, dihydroergotamine mesylate, per 1 mg",Dihydroergotamine Mesylate,Dihydroergotamine Mesylate,Perrigo Co.
J1160,"Injection, digoxin, up to 0.5 mg",Digoxin,Digoxin,"West-Ward, Inc."
J1160,"Injection, digoxin, up to 0.5 mg",Lanoxin,Digoxin,Covis Pharmeu
J1160,"Injection, digoxin, up to 0.5 mg",Lanoxin Pediatric,Digoxin,Covis Pharmeu
J1162,"Injection, digoxin immune fab (ovine), per vial",Digifab,Digoxin Immune Fab,BTG Internation
J1170,"Injection, hydromorphone, up to 4 mg",Dilaudid,Hydromorphone HCL/PF,Purdue Pharma L
J1170,"Injection, hydromorphone, up to 4 mg",Dilaudid-HP,Hydromorphone HCL/PF,Purdue Pharma L
J1170,"Injection, hydromorphone, up to 4 mg",Hydromorphone HCL,Hydromorphone HCL,Hospira
J1170,"Injection, hydromorphone, up to 4 mg",Hydromorphone HCL,Hydromorphone HCL,"West-Ward, Inc."
J1170,"Injection, hydromorphone, up to 4 mg",Hydromorphone HCL,Hydromorphone HCL/PF,Akorn Inc.
J1170,"Injection, hydromorphone, up to 4 mg",Hydromorphone HCL,Hydromorphone HCL/PF,Hospira
J1170,"Injection, hydromorphone, up to 4 mg",Hydromorphone HCL,Hydromorphone HCL/PF,Teva Parenteral
J1190,"Injection, dexrazoxane hydrochloride, per 250 mg",Dexrazoxane,Dexrazoxane HCL,Mylan Instituti
J1190,"Injection, dexrazoxane hydrochloride, per 250 mg",Zinecard,Dexrazoxane HCL,Pharmia/Upjhn
J1200,"Injection, diphenhydramine hcl, up to 50 mg",Diphenhydramine HCL,Diphenhydramine HCL,A-S Medication
J1200,"Injection, diphenhydramine hcl, up to 50 mg",Diphenhydramine HCL,Diphenhydramine HCL,APP/Fresenius K
J1200,"Injection, diphenhydramine hcl, up to 50 mg",Diphenhydramine HCL,Diphenhydramine HCL,APP/Premierpro
J1200,"Injection, diphenhydramine hcl, up to 50 mg",Diphenhydramine HCL,Diphenhydramine HCL,Bd Rx Inc./APP
J1200,"Injection, diphenhydramine hcl, up to 50 mg",Diphenhydramine HCL,Diphenhydramine HCL,Hospira
J1200,"Injection, diphenhydramine hcl, up to 50 mg",Diphenhydramine HCL,Diphenhydramine HCL,Mylan Instituti
J1200,"Injection, diphenhydramine hcl, up to 50 mg",Diphenhydramine HCL,Diphenhydramine HCL,"West-Ward, Inc."
J1205,"Injection, chlorothiazide sodium, per 500 mg",Chlorothiazide Sodium,Chlorothiazide Sodium,APP/Fresenius K
J1205,"Injection, chlorothiazide sodium, per 500 mg",Chlorothiazide Sodium,Chlorothiazide Sodium,APP/Novaplus
J1205,"Injection, chlorothiazide sodium, per 500 mg",Chlorothiazide Sodium,Chlorothiazide Sodium,Akorn Inc.
J1205,"Injection, chlorothiazide sodium, per 500 mg",Chlorothiazide Sodium,Chlorothiazide Sodium,Mylan Instituti
J1205,"Injection, chlorothiazide sodium, per 500 mg",Chlorothiazide Sodium,Chlorothiazide Sodium,Sagent Pharme
J1205,"Injection, chlorothiazide sodium, per 500 mg",Chlorothiazide Sodium,Chlorothiazide Sodium,Sun Pharma Glob
J1205,"Injection, chlorothiazide sodium, per 500 mg",Sodium Diuril,Chlorothiazide Sodium,Oak Pharmeuti
J1212,"Injection, dmso, dimethyl sulfoxide, 50%, 50 ml",Rimso-50,Dimethyl Sulfoxide,Mylan Instituti
J1230,"Injection, methadone hcl, up to 10 mg",Methadone HCL,Methadone HCL,Mylan Instituti
J1240,"Injection, dimenhydrinate, up to 50 mg",Dimenhydrinate,Dimenhydrinate,APP/Fresenius K
J1245,"Injection, dipyridamole, per 10 mg",Dipyridamole,Dipyridamole,"West-Ward, Inc."
J1250,"Injection, dobutamine hydrochloride, per 250 mg",Dobutamine HCL,Dobutamine HCL,Hospira
J1250,"Injection, dobutamine hydrochloride, per 250 mg",Dobutamine HCL,Dobutamine HCL,Hospira/Novaplu
J1250,"Injection, dobutamine hydrochloride, per 250 mg",Dobutamine HCL In Dextrose,Dobutamine HCL In Dextrose 5 %,Baxter Healthca
J1260,"Injection, dolasetron mesylate, 10 mg",Anzemet,Dolasetron Mesylate,Sanofi/Validus
J1265,"Injection, dopamine hcl, 40 mg",Dopamine HCL,Dopamine HCL,Amer. Regent
J1265,"Injection, dopamine hcl, 40 mg",Dopamine HCL,Dopamine HCL,Hospira
J1265,"Injection, dopamine hcl, 40 mg",Dopamine HCL In 5% Dextrose,Dopamine HCL In Dextrose 5 %,Baxter Healthca
J1265,"Injection, dopamine hcl, 40 mg",Dopamine HCL In 5% Dextrose,Dopamine HCL In Dextrose 5 %,Hospira
J1267,"Injection, doripenem, 10 mg",Doribax,Doripenem,Shionogi Pharma
J1300,"Injection, eculizumab, 10 mg",Soliris,Eculizumab,Alexion Pharm
J1325,"Injection, epoprostenol, 0.5 mg",Epoprostenol Sodium,Epoprostenol Sodium (Glycine),Teva Parenteral
J1325,"Injection, epoprostenol, 0.5 mg",Flolan,Epoprostenol Sodium (Glycine),Glaxosmithkline
J1325,"Injection, epoprostenol, 0.5 mg",Veletri,Epoprostenol Sodium (Arginine),Actelion Pharma
J1335,"Injection, ertapenem sodium, 500 mg",Invanz,Ertapenem Sodium,Merck Sharp & D
J1364,"Injection, erythromycin lactobionate, per 500 mg",Erythrocin Lactobionate,Erythromycin Lactobionate,Hospira
J1380,"Injection, estradiol valerate, up to 10 mg",Delestrogen,Estradiol Valerate,Par Pharmeuti
J1380,"Injection, estradiol valerate, up to 10 mg",Estradiol Valerate,Estradiol Valerate,Par Pharm.
J1380,"Injection, estradiol valerate, up to 10 mg",Estradiol Valerate,Estradiol Valerate,Perrigo Co.
J1410,"Injection, estrogen conjugated, per 25 mg",Premarin,"Estrogens, Conjugated",Wyeth Pharm
J1430,"Injection, ethanolamine oleate, 100 mg",Ethamolin,Ethanolamine Oleate,QOL Medical
J1438,"Injection, etanercept, 25 mg (code may be used for medicare when drug administered under the direct supervision of a physician, not for use when drug is self administered)",,,
J1439,"Injection, ferric carboxymaltose, 1 mg",Injectafer,Ferric Carboxymaltose,Amer. Regent
J1442,"Injection, filgrastim (g-csf), excludes biosimilars, 1 microgram",Neupogen,Filgrastim,Amgen
J1450,"Injection fluconazole, 200 mg",Diflucan In Saline,"Fluconazole In NaCl,Iso-Osm",Pfizer US Pharm
J1450,"Injection fluconazole, 200 mg",Fluconazole In Dextrose,"Fluconazole In Dextrose,Iso-Os",Hospira
J1450,"Injection fluconazole, 200 mg",Fluconazole In Dextrose,"Fluconazole In Dextrose,Iso-Os","West-Ward, Inc."
J1450,"Injection fluconazole, 200 mg",Fluconazole In Saline,"Fluconazole In NaCl,Iso-Osm",Bedford Labs
J1450,"Injection fluconazole, 200 mg",Fluconazole In Saline,"Fluconazole In NaCl,Iso-Osm","West-Ward, Inc."
J1450,"Injection fluconazole, 200 mg",Fluconazole-NaCl,"Fluconazole In NaCl,Iso-Osm",Baxter Healthca
J1450,"Injection fluconazole, 200 mg",Fluconazole-NaCl,"Fluconazole In NaCl,Iso-Osm",Hospira
J1450,"Injection fluconazole, 200 mg",Fluconazole-NaCl,"Fluconazole In NaCl,Iso-Osm",Hospira/Novaplu
J1450,"Injection fluconazole, 200 mg",Fluconazole-NaCl,"Fluconazole In NaCl,Iso-Osm",Pfizer US Pharm
J1450,"Injection fluconazole, 200 mg",Fluconazole-NaCl,"Fluconazole In NaCl,Iso-Osm",Sagent Pharme
J1450,"Injection fluconazole, 200 mg",Fluconazole-NaCl,"Fluconazole In NaCl,Iso-Osm",Teva Parenteral
J1450,"Injection fluconazole, 200 mg",Fluconazole-NaCl,"Fluconazole In NaCl,Iso-Osm","West-Ward, Inc."
J1453,"Injection, fosaprepitant, 1 mg",Emend,Fosaprepitant Dimeglumine,Merck Sharp & D
J1459,"Injection, immune globulin (privigen), intravenous, non-lyophilized (e.g., liquid), 500 mg",Privigen,Immun Glob G(Igg)/Pro/Iga 0-50,CSL Behring LLC
J1460,"Injection, gamma globulin, intramuscular, 1 cc",Gamastan S-D,Immune Globul G (Igg)/Glycine,Grifols Therape
J1556,"Injection, immune globulin (bivigam), 500 mg",Bivigam,Immun Glob G(Igg)/Gly/Iga Ov50,Biotest Pharm
J1557,"Injection, immune globulin, (gammaplex), intravenous, non-lyophilized (e.g., liquid), 500 mg",Gammaplex,Immun Glob G/Sorb/Gly/Iga 0-50,Bio Products La
J1559,"Injection, immune globulin (hizentra), 100 mg",Hizentra,Immun Glob G(Igg)/Pro/Iga 0-50,CSL Behring LLC
J1560,"Injection, gamma globulin, intramuscular, over 10 cc",Gamastan S-D,Immune Globul G (Igg)/Glycine,Grifols Therape
J1561,"Injection, immune globulin, (gamunex-c/gammaked), non-lyophilized (e.g., liquid), 500 mg",Gammaked,Immune Globul G/Gly/Iga Avg 46,Kedrion Biophar
J1561,"Injection, immune globulin, (gamunex-c/gammaked), non-lyophilized (e.g., liquid), 500 mg",Gamunex-C,Immune Globul G/Gly/Iga Avg 46,Grifols Therape
J1566,"Injection, immune globulin, intravenous, lyophilized (e.g., powder), not otherwise specified, 500 mg",Carimune NF Nanofiltered,Immun Globg(Igg)/Sucr/Iga Ov50,CSL Behring LLC
J1566,"Injection, immune globulin, intravenous, lyophilized (e.g., powder), not otherwise specified, 500 mg",Gammagard S-D,Immun Glob G/Gly/Gluc/Iga 0-50,Baxalta US Inc.
J1566,"Injection, immune globulin, intravenous, lyophilized (e.g., powder), not otherwise specified, 500 mg",Gammagard S-D,Immun Glob G/Gly/Gluc/Iga 0-50,Baxter/Baxalta
J1568,"Injection, immune globulin, (octagam), intravenous, non-lyophilized (e.g., liquid), 500 mg",Octagam,Immun Globg(Igg)/Malt/Iga Ov50,OctaPharma USA
J1569,"Injection, immune globulin, (gammagard liquid), non-lyophilized, (e.g., liquid), 500 mg",Gammagard Liquid,Immun Glob G(Igg)/Gly/Iga Ov50,Baxalta US Inc.
J1570,"Injection, ganciclovir sodium, 500 mg",Cytovene,Ganciclovir Sodium,Roche Labs.
J1570,"Injection, ganciclovir sodium, 500 mg",Ganciclovir Sodium,Ganciclovir Sodium,APP/Fresenius K
J1571,"Injection, hepatitis b immune globulin (hepagam b), intramuscular, 0.5 ml",Hepagam B,Hepatitis B Immun Glob/Maltose,Emergent Biosol
J1572,"Injection, immune globulin, (flebogamma/flebogamma dif), intravenous, non-lyophilized (e.g., liquid), 500 mg",Flebogamma Dif,Imm Glob G (Igg)/Sorb/Iga 0-50,Grifols
J1580,"Injection, garamycin, gentamicin, up to 80 mg",Gentamicin Sulfate,Gentamicin Sulfate,APP/Fresenius K
J1580,"Injection, garamycin, gentamicin, up to 80 mg",Gentamicin Sulfate,Gentamicin Sulfate,APP/Novaplus
J1580,"Injection, garamycin, gentamicin, up to 80 mg",Gentamicin Sulfate,Gentamicin Sulfate,Hospira
J1580,"Injection, garamycin, gentamicin, up to 80 mg",Gentamicin Sulfate,Gentamicin Sulfate,Hospira/Novaplu
J1580,"Injection, garamycin, gentamicin, up to 80 mg",Gentamicin Sulfate,Gentamicin Sulfate/PF,APP/Novaplus
J1580,"Injection, garamycin, gentamicin, up to 80 mg",Gentamicin Sulfate,Gentamicin Sulfate/PF,Fresenius Kabi
J1580,"Injection, garamycin, gentamicin, up to 80 mg",Gentamicin Sulfate In Ns,"Gentamicin In NaCl, Iso-Osm",Baxter Healthca
J1602,"Injection, golimumab, 1 mg, for intravenous use",Simponi Aria,Golimumab,Janssen Biotech
J1610,"Injection, glucagon hydrochloride, per 1 mg",Glucagen,"Glucagon,human Recombinant",Boehringer Ing.
J1610,"Injection, glucagon hydrochloride, per 1 mg",Glucagen,"Glucagon,human Recombinant",Novo Nordisk
J1610,"Injection, glucagon hydrochloride, per 1 mg",Glucagon Emergency Kit,"Glucagon,human Recombinant",A-S Medication
J1610,"Injection, glucagon hydrochloride, per 1 mg",Glucagon Emergency Kit,"Glucagon,human Recombinant",Eli Lilly & Co.
J1610,"Injection, glucagon hydrochloride, per 1 mg",Glucagon HCL,Glucagon HCL,APP/Fresenius K
J1610,"Injection, glucagon hydrochloride, per 1 mg",Glucagon HCL,Glucagon HCL,APP/Novaplus
J1626,"Injection, granisetron hydrochloride, 100 mcg",Granisetron HCL,Granisetron HCL,APP/Fresenius K
J1626,"Injection, granisetron hydrochloride, 100 mcg",Granisetron HCL,Granisetron HCL,Akorn Inc.
J1626,"Injection, granisetron hydrochloride, 100 mcg",Granisetron HCL,Granisetron HCL,Sagent Pharme
J1626,"Injection, granisetron hydrochloride, 100 mcg",Granisetron HCL,Granisetron HCL,Sandoz Inc.
J1626,"Injection, granisetron hydrochloride, 100 mcg",Granisetron HCL,Granisetron HCL,Teva Parenteral
J1626,"Injection, granisetron hydrochloride, 100 mcg",Granisetron HCL,Granisetron HCL,"West-Ward, Inc."
J1626,"Injection, granisetron hydrochloride, 100 mcg",Granisetron HCL,Granisetron HCL/PF,APP/Fresenius K
J1626,"Injection, granisetron hydrochloride, 100 mcg",Granisetron HCL,Granisetron HCL/PF,Sagent Pharme
J1626,"Injection, granisetron hydrochloride, 100 mcg",Granisetron HCL,Granisetron HCL/PF,Sagent/Novaplus
J1626,"Injection, granisetron hydrochloride, 100 mcg",Granisetron HCL,Granisetron HCL/PF,Teva Parenteral
J1630,"Injection, haloperidol, up to 5 mg",Haldol,Haloperidol Lactate,Janssen Pharm.
J1630,"Injection, haloperidol, up to 5 mg",Haloperidol,Haloperidol Lactate,Patriot Pharm
J1630,"Injection, haloperidol, up to 5 mg",Haloperidol Lactate,Haloperidol Lactate,APP/Fresenius K
J1630,"Injection, haloperidol, up to 5 mg",Haloperidol Lactate,Haloperidol Lactate,Abraxis Bioscie
J1630,"Injection, haloperidol, up to 5 mg",Haloperidol Lactate,Haloperidol Lactate,Mylan Instituti
J1630,"Injection, haloperidol, up to 5 mg",Haloperidol Lactate,Haloperidol Lactate,Sagent Pharme
J1630,"Injection, haloperidol, up to 5 mg",Haloperidol Lactate,Haloperidol Lactate,Teva Parenteral
J1631,"Injection, haloperidol decanoate, per 50 mg",Haldol Decanoate 100,Haloperidol Decanoate,Janssen Pharm.
J1631,"Injection, haloperidol decanoate, per 50 mg",Haldol Decanoate 50,Haloperidol Decanoate,Janssen Pharm.
J1631,"Injection, haloperidol decanoate, per 50 mg",Haloperidol Decanoate,Haloperidol Decanoate,APP/Fresenius K
J1631,"Injection, haloperidol decanoate, per 50 mg",Haloperidol Decanoate,Haloperidol Decanoate,Mylan Instituti
J1631,"Injection, haloperidol decanoate, per 50 mg",Haloperidol Decanoate,Haloperidol Decanoate,Patriot Pharm
J1631,"Injection, haloperidol decanoate, per 50 mg",Haloperidol Decanoate,Haloperidol Decanoate,Teva Parenteral
J1631,"Injection, haloperidol decanoate, per 50 mg",Haloperidol Decanoate 100,Haloperidol Decanoate,Patriot Pharm
J1640,"Injection, hemin, 1 mg",Panhematin,Hemin,Recordati Rare
J1642,"Injection, heparin sodium, (heparin lock flush), per 10 units",Heparin Flush,"Heparin Sod,porcine/0.9 % NaCl",Becton Dickinso
J1642,"Injection, heparin sodium, (heparin lock flush), per 10 units",Heparin Flush,"Heparin Sodium,porcine/PF",Becton Dickinso
J1642,"Injection, heparin sodium, (heparin lock flush), per 10 units",Heparin Flush,"Heparin Sodium,porcine/PF",Medefil Incorp.
J1644,"Injection, heparin sodium, per 1000 units",Heparin Sodium,"Heparin Sodium,porcine",APP/Fresenius K
