"Medicare Part B Drug Spending and Utilization, Calendar Years 2012 - 2016",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,Calendar Year 2012,,,,,,,Calendar Year 2013,,,,,,,Calendar Year 2014,,,,,,,Calendar Year 2015,,,,,,,Calendar Year 2016,,,,,,,,Yearly Change,
J0840,"Injection, crotalidae polyvalent immune fab (ovine), up to 1 gram",Crofab,"Antivenin,crotalidae Fab(Ovin)","$1,514,578",700,116,111,"$2,163.68","$13,056.70","$13,644.84","$1,624,217",741,115,113,"$2,191.93","$14,123.62","$14,373.60","$1,689,442",701,119,114,"$2,410.05","$14,196.99","$14,819.67","$1,781,064",718,109,104,"$2,480.59","$16,340.04","$17,125.62","$1,113,773",426,79,71,"$2,614.49","$14,098.40","$15,686.95","$2,638.46",5.40%,4.85%
J7631,"Cromolyn sodium, inhalation solution, fda-approved final product, non-compounded, administered through dme, unit dose form, per 10 milligrams",Cromolyn Sodium,Cromolyn Sodium,"$129,814","292,315","1,402",515,$0.44,$92.59,$252.07,"$199,909","372,297","1,854",629,$0.54,$107.83,$317.82,"$163,073","387,427","2,247",663,$0.42,$72.57,$245.96,"$310,052","425,923","2,689",697,$0.73,$115.30,$444.84,"$358,586","443,423","2,775",741,$0.81,$129.22,$483.92,$0.82,11.09%,16.17%
J0878,"Injection, daptomycin, 1 mg",Cubicin,Daptomycin,"$71,449,686","137,945,568","134,128","16,137",$0.52,$532.70,"$4,427.69","$80,129,721","138,225,065","130,881","16,391",$0.58,$612.23,"$4,888.64","$91,622,886","142,170,865","127,509","15,936",$0.64,$718.56,"$5,749.43","$104,063,992","144,075,474","124,729","15,681",$0.72,$834.32,"$6,636.31","$115,068,440","136,499,614","122,791","14,397",$0.84,$937.11,"$7,992.53",$0.86,16.71%,12.95%
J3420,"Injection, vitamin b-12 cyanocobalamin, up to 1000 mcg",Cyanocobalamin Injection,Cyanocobalamin (Vitamin B-12),"$1,563,551","2,859,409","2,834,337","665,385",$0.55,$0.55,$2.35,"$3,042,836","2,624,647","2,608,082","637,994",$1.16,$1.17,$4.77,"$4,825,789","2,337,048","2,324,948","583,712",$2.06,$2.08,$8.27,"$6,908,270","2,377,035","2,364,865","574,596",$2.91,$2.92,$12.02,"$9,109,036","2,457,859","2,444,798","586,217",$3.71,$3.73,$15.54,$3.94,27.52%,61.35%
J8530,"Cyclophosphamide; oral, 25 mg",Cyclophosphamide (J8530),Cyclophosphamide,"$679,714","424,173","9,732","2,704",$1.60,$69.84,$251.37,"$787,585","443,936","10,837","3,022",$1.77,$72.68,$260.62,"$894,982","461,704","12,602","3,538",$1.94,$71.02,$252.96,"$4,181,107","530,731","14,864","3,916",$7.88,$281.29,"$1,067.70","$3,107,745","478,974","13,416","3,478",$6.49,$231.64,$893.54,$3.46,-17.64%,41.85%
J9070,"Cyclophosphamide, 100 mg",Cyclophosphamide (J9070),Cyclophosphamide,"$32,839,101","1,806,669","149,092","37,997",$18.18,$220.26,$864.26,"$56,781,593","1,705,237","137,298","35,439",$33.30,$413.56,"$1,602.23","$91,175,632","1,632,531","131,819","33,814",$55.85,$691.67,"$2,696.39","$84,952,840","1,580,683","127,592","32,393",$53.74,$665.82,"$2,622.57","$66,228,781","1,516,475","120,647","31,178",$43.67,$548.95,"$2,124.22",$44.59,-18.74%,24.50%
J7502,"Cyclosporine, oral, 100 mg",Cyclosporine (J7502)*,Cyclosporine*,"$11,127,129","3,356,974","53,317","7,085",$3.31,$208.70,"$1,570.52","$10,165,942","3,033,285","48,519","6,416",$3.35,$209.52,"$1,584.47","$8,692,006","2,756,545","44,781","5,821",$3.15,$194.10,"$1,493.22","$7,534,069","2,493,703","40,767","5,332",$3.02,$184.81,"$1,412.99","$7,577,761","2,257,147","37,139","4,813",$3.36,$204.04,"$1,574.44",$3.42,11.12%,0.32%
J7515,"Cyclosporine, oral, 25 mg",Cyclosporine (J7515)*,Cyclosporine*,"$13,082,937","13,977,576","96,600","11,999",$0.94,$135.43,"$1,090.34","$12,365,911","13,537,482","93,160","11,469",$0.91,$132.74,"$1,078.20","$10,993,187","13,035,547","89,574","10,879",$0.84,$122.73,"$1,010.50","$10,160,835","12,338,697","85,379","10,332",$0.82,$119.01,$983.43,"$11,001,214","11,820,103","81,860","9,838",$0.93,$134.39,"$1,118.24",$0.95,13.02%,-0.14%
J9100,"Injection, cytarabine, 100 mg",Cytarabine*,Cytarabine*,"$41,315","37,675","3,254",455,$1.10,$12.70,$90.80,"$43,265","39,110","2,939",407,$1.11,$14.72,$106.30,"$36,979","28,536","2,109",316,$1.30,$17.53,$117.02,"$33,512","26,249","2,192",279,$1.28,$15.29,$120.11,"$24,100","23,331","2,174",253,$1.03,$11.09,$95.26,$0.89,-19.09%,-1.48%
J0850,"Injection, cytomegalovirus immune globulin intravenous (human), per vial",Cytogam,Cytomegalovirus Immune Globuln,"$2,706,182","2,788",837,244,$970.65,"$3,233.19","$11,090.91","$2,816,472","2,811",784,226,"$1,001.95","$3,592.44","$12,462.26","$4,263,735","4,676",662,213,$911.83,"$6,440.69","$20,017.53","$2,958,877","2,891",724,228,"$1,023.48","$4,086.85","$12,977.53","$3,165,590","2,933",732,219,"$1,079.30","$4,324.58","$14,454.75","$1,095.76",5.45%,2.69%
J1570,"Injection, ganciclovir sodium, 500 mg",Cytovene*,Ganciclovir Sodium*,"$700,066","15,199","3,446",685,$46.06,$203.15,"$1,021.99","$691,976","15,164","3,858",725,$45.63,$179.36,$954.45,"$700,707","15,043","3,897",726,$46.58,$179.81,$965.16,"$373,475","10,215","1,827",370,$36.56,$204.42,"$1,009.39","$406,341","11,367","1,907",373,$35.75,$213.08,"$1,089.39",$63.31,-2.22%,-6.14%
J1110,"Injection, dihydroergotamine mesylate, per 1 mg",D.H.E.45*,Dihydroergotamine Mesylate*,"$70,559","2,641","2,220","1,176",$26.72,$31.78,$60.00,"$94,408","2,941","2,427","1,379",$32.10,$38.90,$68.46,"$92,872","2,856","2,154","1,247",$32.52,$43.12,$74.48,"$106,565","2,680","1,947","1,260",$39.76,$54.73,$84.58,"$83,040","1,700","1,393",815,$48.86,$59.61,$101.89,$69.61,22.87%,16.28%
J9130,"Dacarbazine, 100 mg",Dacarbazine,Dacarbazine,"$138,217","40,056","5,717",886,$3.45,$24.18,$156.00,"$145,987","39,147","5,602",820,$3.73,$26.06,$178.03,"$137,097","35,479","5,012",746,$3.86,$27.35,$183.78,"$128,303","32,535","4,449",670,$3.94,$28.84,$191.50,"$111,953","28,456","3,810",602,$3.93,$29.38,$185.97,$4.02,-0.24%,3.33%
J0894,"Injection, decitabine, 1 mg",Dacogen*,Decitabine*,"$133,054,517","4,017,056","68,680","4,502",$33.12,"$1,937.31","$29,554.53","$141,631,984","4,174,237","69,813","4,607",$33.93,"$2,028.73","$30,742.78","$124,730,975","4,233,414","70,123","4,576",$29.46,"$1,778.75","$27,257.64","$103,320,818","4,207,648","69,114","4,542",$24.56,"$1,494.93","$22,747.87","$92,897,263","4,317,772","72,415","4,567",$21.52,"$1,282.85","$20,340.98",$21.98,-12.38%,-10.23%
J9150,"Injection, daunorubicin, 10 mg",Daunorubicin HCL,Daunorubicin HCL,"$22,860","1,306",147,74,$17.50,$155.51,$308.92,"$28,777","1,112",123,44,$25.88,$233.96,$654.01,"$16,744",701,79,33,$23.89,$211.94,$507.38,"$36,885","1,399",151,55,$26.37,$244.27,$670.63,"$34,345",968,105,46,$35.48,$327.10,$746.63,$35.84,34.57%,19.32%
J2597,"Injection, desmopressin acetate, per 1 mcg",Ddavp*,Desmopressin Acetate*,"$33,662","6,273",281,155,$5.37,$119.79,$217.17,"$540,845","97,452","3,914","3,317",$5.55,$138.18,$163.05,"$521,793","102,586","4,294","3,601",$5.09,$121.52,$144.90,"$676,148","101,271","4,265","3,601",$6.68,$158.53,$187.77,"$1,395,117","102,497","4,259","3,714",$13.61,$327.57,$375.64,$14.22,103.86%,26.20%
J0895,"Injection, deferoxamine mesylate, 500 mg",Deferoxamine Mesylate*,Deferoxamine Mesylate*,"$3,028,561","208,440","16,519",726,$14.53,$183.34,"$4,171.57","$3,031,804","210,181","15,391",685,$14.42,$196.99,"$4,425.99","$3,010,743","207,571","14,163",639,$14.50,$212.58,"$4,711.65","$2,519,592","174,003","12,162",567,$14.48,$207.17,"$4,443.72","$2,023,166","138,931","9,848",473,$14.56,$205.44,"$4,277.31",$10.15,0.57%,0.06%
Q9957,"Injection, perflutren lipid microspheres, per ml",Definity,Perflutren Lipid Microspheres,"$1,646,198","27,692","14,816","14,468",$59.45,$111.11,$113.78,"$1,837,953","33,605","18,663","18,154",$54.69,$98.48,$101.24,"$1,886,383","34,393","18,972","18,434",$54.85,$99.43,$102.33,"$2,034,852","38,578","21,011","20,359",$52.75,$96.85,$99.95,"$2,162,084","42,252","22,971","22,223",$51.17,$94.12,$97.29,$52.21,-2.99%,-3.68%
J3121,"Injection, testosterone enanthate, 1 mg",Delatestryl*,Testosterone Enanthate*,,,,,,,,,,,,,,,,,,,,,,"$109,666","2,358,124","16,830","2,747",$0.05,$6.52,$39.92,"$100,291","2,366,118","15,033","2,212",$0.04,$6.67,$45.34,$0.04,-8.86%,-8.86%
J1380,"Injection, estradiol valerate, up to 10 mg",Delestrogen*,Estradiol Valerate*,"$160,580","19,547","13,968","2,925",$8.21,$11.50,$54.90,"$166,698","19,285","12,269","2,479",$8.64,$13.59,$67.24,"$127,976","14,690","9,619","1,978",$8.71,$13.30,$64.70,"$123,971","12,481","8,072","1,600",$9.93,$15.36,$77.48,"$113,499","12,190","7,453","1,480",$9.31,$15.23,$76.69,$9.65,-6.26%,3.18%
J2175,"Injection, meperidine hydrochloride, per 100 mg",Demerol*,Meperidine HCL*,"$152,278","79,667","69,073","31,990",$1.91,$2.20,$4.76,"$150,283","68,139","58,789","26,447",$2.21,$2.56,$5.68,"$201,411","55,697","48,699","22,338",$3.62,$4.14,$9.02,"$215,981","49,509","42,614","19,655",$4.36,$5.07,$10.99,"$186,773","41,537","36,781","16,551",$4.50,$5.08,$11.28,$4.78,3.07%,23.85%
J9098,"Injection, cytarabine liposome, 10 mg",Depocyt,Cytarabine Liposome/PF,"$1,361,598","2,686",542,214,$506.92,"$2,512.17","$6,362.61","$1,192,947","2,255",459,175,$529.02,"$2,599.01","$6,816.84","$1,144,790","2,137",413,159,$535.70,"$2,771.89","$7,199.94","$1,190,564","2,136",407,168,$557.38,"$2,925.22","$7,086.69","$1,296,575","2,256",445,177,$574.72,"$2,913.65","$7,325.28",$586.17,3.11%,3.19%
J1000,"Injection, depo-estradiol cypionate, up to 5 mg",Depo-Estradiol,Estradiol Cypionate,"$220,288","33,186","32,804","6,713",$6.64,$6.72,$32.82,"$224,783","30,226","29,981","6,053",$7.44,$7.50,$37.14,"$237,661","26,509","26,419","5,303",$8.97,$9.00,$44.82,"$251,439","23,067","22,992","4,584",$10.90,$10.94,$54.85,"$266,513","19,607","19,548","3,886",$13.59,$13.63,$68.58,$15.02,24.70%,19.62%
J1020,"Injection, methylprednisolone acetate, 20 mg",Depo-Medrol (J1020)*,MethylprednIsolone Acetate*,"$1,274,336","416,365","250,803","170,210",$3.06,$5.08,$7.49,"$1,217,540","403,560","244,069","164,977",$3.02,$4.99,$7.38,"$1,268,273","390,929","235,297","159,503",$3.24,$5.39,$7.95,"$1,097,445","372,886","225,531","153,561",$2.94,$4.87,$7.15,"$1,551,537","347,086","212,314","143,992",$4.47,$7.31,$10.78,$4.64,51.89%,9.93%
J1030,"Injection, methylprednisolone acetate, 40 mg",Depo-Medrol (J1030)*,MethylprednIsolone Acetate*,"$8,600,267","2,473,934","1,776,387","1,130,094",$3.48,$4.84,$7.61,"$7,207,700","2,548,134","1,819,315","1,156,814",$2.83,$3.96,$6.23,"$7,850,546","2,662,791","1,884,795","1,195,941",$2.95,$4.17,$6.56,"$9,781,824","2,780,756","1,948,253","1,236,688",$3.52,$5.02,$7.91,"$13,208,535","2,846,221","1,972,694","1,257,516",$4.64,$6.70,$10.50,$4.74,31.93%,7.49%
J1040,"Injection, methylprednisolone acetate, 80 mg",Depo-Medrol (J1040)*,MethylprednIsolone Acetate*,"$11,742,655","1,746,709","1,493,839","941,573",$6.72,$7.86,$12.47,"$9,588,032","1,749,149","1,502,461","948,765",$5.48,$6.38,$10.11,"$9,789,454","1,736,534","1,493,685","948,837",$5.64,$6.55,$10.32,"$11,514,642","1,764,050","1,514,231","963,459",$6.53,$7.60,$11.95,"$15,615,389","1,767,106","1,509,937","962,608",$8.84,$10.34,$16.22,$9.04,35.38%,7.07%
J1050,"Injection, medroxyprogesterone acetate, 1 mg",Depo-Provera,Medroxyprogesterone Acetate,,,,,,,,"$476,472","2,011,110","15,703","8,723",$0.24,$30.34,$54.62,"$525,304","2,013,877","15,736","8,171",$0.26,$33.38,$64.29,"$642,747","2,099,573","16,058","8,209",$0.31,$40.03,$78.30,"$810,144","2,227,454","16,816","8,296",$0.36,$48.18,$97.65,$0.38,18.81%,15.36%
J1071,"Injection, testosterone cypionate, 1 mg",Depo-Testosterone*,Testosterone Cypionate*,,,,,,,,,,,,,,,,,,,,,,"$3,075,494","104,144,373","582,977","70,666",$0.03,$5.28,$43.52,"$2,976,484","106,498,038","586,405","67,468",$0.03,$5.08,$44.12,$0.03,-5.36%,-5.36%
Q4106,"Dermagraft, per square centimeter",Dermagraft,"Cult Skin Subst,human-Bovine","$59,693,448","1,447,413","30,601","8,303",$41.24,"$1,950.70","$7,189.38","$41,462,032","969,518","20,159","5,834",$42.77,"$2,056.75","$7,106.96","$5,688,488","138,713","3,729",936,$41.01,"$1,525.47","$6,077.44","$3,686,505","109,156","2,963",764,$33.77,"$1,244.18","$4,825.27","$2,431,677","74,998","2,066",512,$32.42,"$1,177.00","$4,749.37",$33.02,-4.00%,-5.84%
J8540,"Dexamethasone, oral, 0.25 mg",Dexamethasone,Dexamethasone,"$37,944","370,383","2,853",938,$0.10,$13.30,$40.45,"$19,759","138,215","1,920",611,$0.14,$10.29,$32.34,"$7,971","63,498",681,282,$0.13,$11.71,$28.27,"$5,794","64,904",576,214,$0.09,$10.06,$27.08,"$2,296","73,561",701,260,$0.03,$3.28,$8.83,$0.05,-65.04%,-25.70%
J1100,"Injection, dexamethasone sodium phosphate, 1 mg",Dexamethasone Sodium Phosphate*,Dexamethasone Sod Phosphate*,"$2,370,777","20,377,626","2,453,945","917,289",$0.12,$0.97,$2.58,"$2,172,119","19,744,884","2,459,459","956,321",$0.11,$0.88,$2.27,"$2,599,236","19,573,724","2,460,901","985,567",$0.13,$1.06,$2.64,"$2,756,253","19,429,888","2,483,834","1,036,077",$0.14,$1.11,$2.66,"$2,625,859","19,787,060","2,536,668","1,094,672",$0.13,$1.04,$2.40,$0.14,-6.45%,3.34%
J1750,"Injection, iron dextran, 50 mg",Dexferrum*,Iron Dextran Complex*,"$12,640,233","1,049,959","114,886","36,521",$12.04,$110.02,$346.11,"$12,830,311","1,077,458","108,813","36,592",$11.91,$117.91,$350.63,"$11,675,934","990,434","97,659","33,512",$11.79,$119.56,$348.41,"$11,311,212","953,355","93,910","32,709",$11.86,$120.45,$345.81,"$9,657,199","798,215","78,671","28,547",$12.10,$122.75,$338.29,$12.30,1.97%,0.12%
J1190,"Injection, dexrazoxane hydrochloride, per 250 mg",Dexrazoxane*,Dexrazoxane HCL*,"$832,683","4,684","1,249",417,$177.77,$666.68,"$1,996.84","$664,868","4,424","1,055",340,$150.29,$630.21,"$1,955.50","$465,224","3,389",849,266,$137.27,$547.97,"$1,748.96","$563,616","4,100","1,030",320,$137.47,$547.20,"$1,761.30","$726,198","4,260","1,051",323,$170.47,$690.96,"$2,248.29",$173.82,24.01%,-1.04%
J7042,5% dextrose/normal saline (500 ml = 1 unit),Dextrose 5%-0.9% NaCl,Dextrose 5 % And 0.9 % NaCl,"$29,753","61,038","40,904","16,165",$0.49,$0.73,$1.84,"$33,777","57,220","38,098","14,960",$0.59,$0.89,$2.26,"$29,668","52,042","34,509","14,349",$0.57,$0.86,$2.07,"$25,627","41,866","29,182","11,796",$0.61,$0.88,$2.17,"$23,324","34,322","23,950","9,329",$0.68,$0.97,$2.50,$0.69,11.02%,8.66%
J3480,"Injection, potassium chloride, per 2 meq",Dextrose 5%-Potassium Chloride*,Potassium Chloride In D5W*,"$19,631","736,258","70,621","21,738",$0.03,$0.28,$0.90,"$18,301","698,276","65,549","19,568",$0.03,$0.28,$0.94,"$44,595","645,447","59,525","17,979",$0.07,$0.75,$2.48,"$87,552","625,086","57,380","17,081",$0.14,$1.53,$5.13,"$96,586","628,777","58,273","16,257",$0.15,$1.66,$5.94,$0.14,9.67%,54.93%
J7060,5% dextrose/water (500 ml = 1 unit),Dextrose In Water (J7060),Dextrose 5 % In Water,"$112,968","104,180","70,397","15,123",$1.08,$1.60,$7.47,"$100,480","93,046","66,480","12,955",$1.08,$1.51,$7.76,"$96,951","75,973","55,268","11,776",$1.28,$1.75,$8.23,"$115,889","69,210","49,963","9,588",$1.67,$2.32,$12.09,"$113,929","64,031","46,045","8,617",$1.78,$2.47,$13.22,$1.79,6.26%,13.18%
J7070,"Infusion, d5w, 1000 cc",Dextrose In Water (J7070),Dextrose 5 % In Water,"$32,305","13,255","11,360","3,517",$2.44,$2.84,$9.19,"$30,118","11,200","9,282","2,844",$2.69,$3.24,$10.59,"$22,657","9,910","8,594","2,808",$2.29,$2.64,$8.07,"$19,625","7,403","6,683","2,207",$2.65,$2.94,$8.89,"$17,571","5,032","4,612","1,597",$3.49,$3.81,$11.00,$3.49,31.73%,9.41%
J3360,"Injection, diazepam, up to 5 mg",Diazepam,Diazepam,"$21,528","19,168","13,165","7,984",$1.12,$1.64,$2.70,"$50,502","16,525","11,407","6,417",$3.06,$4.43,$7.87,"$55,109","13,739","9,917","5,587",$4.01,$5.56,$9.86,"$58,746","12,096","8,166","4,997",$4.86,$7.19,$11.76,"$66,007","9,843","6,730","4,172",$6.71,$9.81,$15.82,$7.86,38.07%,56.32%
J1450,"Injection fluconazole, 200 mg",Diflucan In Saline*,"Fluconazole In NaCl,Iso-Osm*","$19,777","3,144","2,057",532,$6.29,$9.61,$37.18,"$25,896","5,291","3,023",528,$4.89,$8.57,$49.05,"$24,591","5,610","3,062",515,$4.38,$8.03,$47.75,"$20,433","5,171","2,663",385,$3.95,$7.67,$53.07,"$26,707","5,826","3,271",292,$4.58,$8.16,$91.46,$4.55,16.01%,-7.61%
J1162,"Injection, digoxin immune fab (ovine), per vial",Digifab,Digoxin Immune Fab,"$481,078",621,213,212,$774.68,"$2,258.58","$2,269.24","$906,580",859,252,248,"$1,055.39","$3,597.54","$3,655.56","$722,069",483,197,196,"$1,494.97","$3,665.32","$3,684.02","$1,065,496",463,174,173,"$2,301.29","$6,123.54","$6,158.93","$1,075,176",375,126,126,"$2,867.14","$8,533.14","$8,533.14","$2,940.41",24.59%,38.70%
J1160,"Injection, digoxin, up to 0.5 mg",Digoxin*,Digoxin*,$442,177,153,143,$2.50,$2.89,$3.09,$345,178,163,152,$1.94,$2.12,$2.27,$554,150,146,122,$3.70,$3.80,$4.54,"$2,455",129,118,102,$19.03,$20.81,$24.07,"$79,682","8,894","6,032","5,735",$8.96,$13.21,$13.89,$4.84,-52.93%,37.65%
J1170,"Injection, hydromorphone, up to 4 mg",Dilaudid*,Hydromorphone HCL/PF*,"$4,487,039","3,003,508","39,771","14,127",$1.49,$112.82,$317.62,"$3,747,415","2,511,832","30,986","10,710",$1.49,$120.94,$349.90,"$3,186,202","1,964,234","29,320","9,878",$1.62,$108.67,$322.56,"$2,629,770","1,645,521","27,768","9,219",$1.60,$94.71,$285.26,"$2,440,741","1,492,904","25,871","7,978",$1.63,$94.34,$305.93,$2.03,2.30%,2.28%
J1240,"Injection, dimenhydrinate, up to 50 mg",Dimenhydrinate,Dimenhydrinate,$915,234,201,148,$3.92,$4.55,$6.18,"$1,612",353,307,193,$4.57,$5.25,$8.35,"$1,724",427,354,191,$4.04,$4.87,$9.03,"$2,584",561,442,234,$4.61,$5.85,$11.04,"$4,390",914,521,273,$4.81,$8.43,$16.08,$6.07,4.26%,5.24%
J1200,"Injection, diphenhydramine hcl, up to 50 mg",Diphenhydramine HCL (J1200),Diphenhydramine HCL,"$579,936","749,497","730,000","157,266",$0.77,$0.79,$3.69,"$525,196","712,944","697,465","149,231",$0.74,$0.75,$3.52,"$427,343","700,087","685,868","145,571",$0.61,$0.62,$2.94,"$399,458","676,396","661,146","140,154",$0.59,$0.60,$2.85,"$396,598","680,625","663,942","137,328",$0.58,$0.60,$2.89,$0.54,-1.33%,-6.84%
Q0163,"Diphenhydramine hydrochloride, 50 mg, oral, fda approved prescription anti-emetic, for use as a complete therapeutic substitute for an iv anti-emetic at time of chemotherapy treatment not to exceed a 48 hour dosage regimen",Diphenhydramine HCL (Q0163),Diphenhydramine HCL,$243,"3,957","2,961",666,$0.06,$0.08,$0.37,$572,"2,454","1,923",448,$0.23,$0.30,$1.28,"$1,983","1,795","1,421",397,$1.10,$1.40,$4.99,$399,"1,359","1,333",413,$0.29,$0.30,$0.96,$397,"1,309","1,264",320,$0.30,$0.31,$1.24,$0.26,3.50%,49.06%
J2704,"Injection, propofol, 10 mg",Diprivan*,Propofol*,,,,,,,,,,,,,,,,,,,,,,"$57,743","491,520","39,743","23,568",$0.12,$1.45,$2.45,"$74,595","578,307","44,945","26,463",$0.13,$1.66,$2.82,$0.12,9.80%,9.80%
J1245,"Injection, dipyridamole, per 10 mg",Dipyridamole,Dipyridamole,"$484,950","596,345","131,280","129,691",$0.81,$3.69,$3.74,"$382,185","450,108","99,021","97,662",$0.85,$3.86,$3.91,"$334,207","416,493","90,780","89,407",$0.80,$3.68,$3.74,"$305,685","387,977","83,259","82,103",$0.79,$3.67,$3.72,"$285,328","363,396","78,555","77,384",$0.79,$3.63,$3.69,$0.81,-0.35%,-0.87%
J1250,"Injection, dobutamine hydrochloride, per 250 mg",Dobutamine HCL*,Dobutamine HCL*,"$636,974","128,458","34,747","29,083",$4.96,$18.33,$21.90,"$672,724","136,011","25,851","18,941",$4.95,$26.02,$35.52,"$620,649","130,673","25,017","18,255",$4.75,$24.81,$34.00,"$780,501","164,625","25,505","16,467",$4.74,$30.60,$47.40,"$853,143","180,581","25,919","14,965",$4.72,$32.92,$57.01,$5.47,-0.35%,-1.20%
J9171,"Injection, docetaxel, 1 mg",Docefrez*,Docetaxel*,"$195,787,449","19,072,447","179,039","40,678",$10.27,"$1,093.55","$4,813.10","$87,382,537","16,082,800","145,600","35,026",$5.43,$600.15,"$2,494.79","$69,116,203","16,030,364","141,883","34,668",$4.31,$487.14,"$1,993.66","$54,130,060","15,712,817","135,252","33,006",$3.44,$400.22,"$1,640.01","$37,075,970","14,491,075","120,607","29,863",$2.56,$307.41,"$1,241.54",$2.61,-25.73%,-29.34%
J1265,"Injection, dopamine hcl, 40 mg",Dopamine HCL*,Dopamine HCL*,"$11,968","20,785",842,169,$0.58,$14.21,$70.81,"$15,593","29,758",688,83,$0.52,$22.66,$187.86,"$25,577","42,033",694,52,$0.61,$36.85,$491.87,"$23,017","38,069",621,36,$0.60,$37.06,$639.36,"$26,165","43,147",583,47,$0.61,$44.88,$556.70,$0.60,0.30%,1.30%
J1267,"Injection, doripenem, 10 mg",Doribax,Doripenem,"$62,433","117,063",809,68,$0.53,$77.17,$918.13,"$29,826","57,114",592,51,$0.52,$50.38,$584.82,"$39,477","67,077",383,28,$0.59,$103.07,"$1,409.88","$146,273","214,557",588,63,$0.68,$248.76,"$2,321.80","$86,595","112,482",560,46,$0.77,$154.63,"$1,882.50",$0.79,12.92%,9.61%
A9575,"Injection, gadoterate meglumine, 0.1 ml",Dotarem,Gadoterate Meglumine,,,,,,,,,,,,,,,"$188,695","429,030","2,739","2,523",$0.44,$68.89,$74.79,"$359,373","1,786,037","14,429","13,533",$0.20,$24.91,$26.56,"$1,631,426","8,157,889","59,592","53,800",$0.20,$27.38,$30.32,$0.21,-0.61%,-32.57%
Q2050,"Injection, doxorubicin hydrochloride, liposomal, not otherwise specified, 10 mg",Doxil*,Doxorubicin HCL Peg-Liposomal*,,,,,,,,"$47,953,098","89,770","13,365","4,812",$534.18,"$3,587.96","$9,965.32","$87,496,672","180,114","27,222","7,743",$485.78,"$3,214.19","$11,300.10","$88,856,147","190,201","28,699","7,792",$467.17,"$3,096.14","$11,403.51","$78,408,528","185,595","27,864","7,871",$422.47,"$2,813.97","$9,961.70",$432.28,-9.57%,-7.52%
J9000,"Injection, doxorubicin hydrochloride, 10 mg",Doxorubicin HCL,Doxorubicin HCL,"$1,479,371","408,022","49,413","12,528",$3.63,$29.94,$118.09,"$1,386,114","375,084","43,896","11,293",$3.70,$31.58,$122.74,"$1,030,284","339,823","40,187","10,263",$3.03,$25.64,$100.39,"$1,117,581","318,690","37,575","9,621",$3.51,$29.74,$116.16,"$844,315","307,197","36,278","9,227",$2.75,$23.27,$91.50,$2.75,-21.63%,-6.69%
Q0167,"Dronabinol, 2.5 mg, oral, fda approved prescription anti-emetic, for use as a complete therapeutic substitute for an iv anti-emetic at the time of chemotherapy treatment, not to exceed a 48 hour dosage regimen",Dronabinol*,Dronabinol*,"$29,568","6,336",114,82,$4.67,$259.37,$360.59,"$20,298","4,528",86,58,$4.48,$236.02,$349.96,"$19,551","6,016",128,71,$3.25,$152.75,$275.37,"$10,877","3,205",69,43,$3.39,$157.63,$252.95,"$13,998","3,711",68,41,$3.77,$205.85,$341.41,$3.80,11.15%,-5.18%
J7620,"Albuterol, up to 2.5 mg and ipratropium bromide, up to 0.5 mg, fda-approved final product, non-compounded, administered through dme",Duoneb*,Ipratropium/Albuterol Sulfate*,"$45,191,373","178,997,799","1,738,230","412,249",$0.25,$26.00,$109.62,"$32,556,979","166,778,787","1,666,052","423,373",$0.20,$19.54,$76.90,"$27,132,818","150,114,076","1,513,368","410,209",$0.18,$17.93,$66.14,"$23,679,490","141,931,323","1,456,572","416,698",$0.17,$16.26,$56.83,"$22,516,303","136,913,268","1,438,059","425,978",$0.16,$15.66,$52.86,$0.17,-1.43%,-10.16%
J2274,"Injection, morphine sulfate, preservative-free for epidural or intrathecal use, 10 mg",Duramorph*,Morphine Sulfate/PF*,,,,,,,,,,,,,,,,,,,,,,"$3,061,233","393,057","7,984","2,694",$7.79,$383.42,"$1,136.31","$2,764,693","355,100","7,663","2,415",$7.79,$360.78,"$1,144.80",$8.60,-0.03%,-0.03%
J0586,"Injection, abobotulinumtoxina, 5 units",Dysport,Abobotulinumtoxina,"$3,587,957","509,164","3,620","1,917",$7.05,$991.15,"$1,871.65","$4,500,597","659,249","4,554","2,166",$6.83,$988.27,"$2,077.84","$5,121,159","702,838","4,984","2,293",$7.29,"$1,027.52","$2,233.39","$5,685,678","747,104","5,135","2,207",$7.61,"$1,107.24","$2,576.20","$6,473,832","847,658","5,773","2,396",$7.64,"$1,121.40","$2,701.93",$7.82,0.36%,2.03%
J1743,"Injection, idursulfase, 1 mg",Elaprase,Idursulfase,"$1,810,965","4,019",114,,$450.60,"$15,885.66",,"$1,002,802","2,184",60,,$459.16,"$16,713.36",,"$864,771","1,834",31,11,$471.52,"$27,895.85","$78,615.57","$1,951,053","4,027",74,,$484.49,"$26,365.58",,"$1,237,211","2,451",54,,$504.78,"$22,911.32",,$521.74,4.19%,2.88%
J3060,"Injection, taliglucerace alfa, 10 units",Elelyso,Taliglucerase Alfa,,,,,,,,,,,,,,,"$1,604,535","52,949",104,22,$30.30,"$15,428.22","$72,933.39","$3,277,006","93,922",195,17,$34.89,"$16,805.16","$192,765.08","$4,193,884","107,965",250,54,$38.84,"$16,775.53","$77,664.51",$39.52,11.33%,13.22%
